id,date,brn,description,reference,credit,debit,balance,createdAt,updatedAt,accountId
18,"2003-02-20 04:04:00",171,"OWN ACCT TRANSFER-",NULL,0,544,500,"2003-02-20 04:04:00","2003-02-20 04:04:00",1
19,"2004-02-20 04:04:00",101,"OWN ACCT TRANSFER-",NULL,200000,0,200500,"2004-02-20 04:04:00","2004-02-20 04:04:00",1
20,"2005-02-20 04:04:00",747,"Cheque Withdrawal / Ibrahim / 01917154857",7793751,0,200000,500,"2005-02-20 04:04:00","2005-02-20 04:04:00",1
21,"2006-02-20 04:04:00",171,"OWN ACCT TRANSFER",NULL,50000,0,50500,"2006-02-20 04:04:00","2006-02-20 04:04:00",1
22,"2007-02-20 04:04:00",171,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,20000,30500,"2007-02-20 04:04:00","2007-02-20 04:04:00",1
23,"2008-02-20 04:04:00",747,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,20000,10500,"2008-02-20 04:04:00","2008-02-20 04:04:00",1
24,"2009-02-20 04:04:00",101,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,2000,8500,"2009-02-20 04:04:00","2009-02-20 04:04:00",1
25,"2010-02-20 04:04:00",101,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,1000,7500,"2010-02-20 04:04:00","2010-02-20 04:04:00",1
26,"2011-02-20 04:04:00",101,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,500,7000,"2011-02-20 04:04:00","2011-02-20 04:04:00",1
27,"2012-02-20 04:04:00",101,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,400,6600,"2012-02-20 04:04:00","2012-02-20 04:04:00",1
28,"2001-10-19 04:04:00",171,"OWN ACCT TRANSFER",NULL,250000,0,250000,"2001-10-19 04:04:00","2001-10-19 04:04:00",2
29,"2010-10-19 04:04:00",101,"Cheque Withdrawal / Babul / 01917154857",1234567,0,50000,200000,"2010-10-19 04:04:00","2010-10-19 04:04:00",2
30,"2020-10-19 04:04:00",747,"Internal Acct Transfer IB-",NULL,20000,0,220000,"2020-10-19 04:04:00","2020-10-19 04:04:00",2
31,"2030-10-19 04:04:00",101,"REG. VALUE CLG. CHARGE",NULL,0,7500,212500,"2030-10-19 04:04:00","2030-10-19 04:04:00",2
32,"2005-11-19 04:04:00",101,"OWN ACCT TRANSFER-",NULL,14000,0,226500,"2005-11-19 04:04:00","2005-11-19 04:04:00",2
33,"2015-11-19 04:04:00",171,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,15000,211500,"2015-11-19 04:04:00","2015-11-19 04:04:00",2
34,"2028-11-19 04:04:00",747,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,15000,196500,"2028-11-19 04:04:00","2028-11-19 04:04:00",2
35,"2007-12-19 04:04:00",747,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,35000,161500,"2007-12-19 04:04:00","2007-12-19 04:04:00",2
36,"2017-12-19 04:04:00",171,"Cheque Withdrawal/ Self",98765432,0,1500,160000,"2017-12-19 04:04:00","2017-12-19 04:04:00",2
37,"2027-12-19 04:04:00",101,"OWN ACCT TRANSFER-",NULL,20000,0,180000,"2027-12-19 04:04:00","2027-12-19 04:04:00",2
38,"2015-01-20 04:04:00",101,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,15000,165000,"2015-01-20 04:04:00","2015-01-20 04:04:00",2
39,"2025-01-20 04:04:00",171,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,100000,65000,"2025-01-20 04:04:00","2025-01-20 04:04:00",2
40,"2005-02-20 04:04:00",171,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,1200,63800,"2005-02-20 04:04:00","2005-02-20 04:04:00",2
41,"2015-02-20 04:04:00",171,"Cheque Withdrawal/ Self",54289654,0,5000,58800,"2015-02-20 04:04:00","2015-02-20 04:04:00",2
42,"2015-09-19 04:04:00",101,"Internal Acct Transfer IB-",NULL,552000,0,552000,"2015-09-19 04:04:00","2015-09-19 04:04:00",3
43,"2025-09-19 04:04:00",747,"Internal Acct Transfer",NULL,132310,0,684310,"2025-09-19 04:04:00","2025-09-19 04:04:00",3
44,"2012-10-19 04:04:00",171,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,383101,301209,"2012-10-19 04:04:00","2012-10-19 04:04:00",3
45,"2026-10-19 04:04:00",101,"OWN ACCT TRANSFER-",NULL,85220,0,386429,"2026-10-19 04:04:00","2026-10-19 04:04:00",3
46,"2016-11-19 04:04:00",747,"Cheque Withdrawal/ Self",58463248,0,13813,375616,"2016-11-19 04:04:00","2016-11-19 04:04:00",3
47,"2026-11-19 04:04:00",101,"Cash Deposit/ Self",NULL,558914,0,931530,"2026-11-19 04:04:00","2026-11-19 04:04:00",3
48,"2005-12-19 04:04:00",101,"Cheque Withdrawal/ Shadhin/ 01765456787",86143581,0,2358,929172,"2005-12-19 04:04:00","2005-12-19 04:04:00",3
49,"2015-12-19 04:04:00",171,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,6765,922407,"2015-12-19 04:04:00","2015-12-19 04:04:00",3
50,"2025-12-19 04:04:00",171,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,4181,918226,"2025-12-19 04:04:00","2025-12-19 04:04:00",3
51,"2005-01-20 04:04:00",747,"Driver salary for January 2020",NULL,0,233377,684849,"2005-01-20 04:04:00","2005-01-20 04:04:00",3
52,"2015-01-20 04:04:00",101,"REG. VALUE CLG. CHARGE",NULL,0,12513,672336,"2015-01-20 04:04:00","2015-01-20 04:04:00",3
53,"2020-01-20 04:04:00",101,"OWN ACCT TRANSFER",NULL,610,0,672946,"2020-01-20 04:04:00","2020-01-20 04:04:00",3
54,"2025-01-20 04:04:00",101,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,500000,172946,"2025-01-20 04:04:00","2025-01-20 04:04:00",3
55,"2005-02-20 04:04:00",171,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,50000,122946,"2005-02-20 04:04:00","2005-02-20 04:04:00",3
56,"2015-02-20 04:04:00",101,"Fuel bill February 2020",NULL,0,50000,72946,"2015-02-20 04:04:00","2015-02-20 04:04:00",3
